class,typedescriptor_va,vtable_va,vcount
sim::SimState,0x0064235C,0x005F32BC,20
sim::SimulatedObject,0x00642378,0x005F38B4,30
sim::ManualSimState,0x006423A0,0x005F3314,20
sim::VoidPList,0x006423C4,0x005F3B54,1
sim::PAVCollisionObject::?$TList,0x006423E0,0x005F3394,1
sim::CollisionManager,0x00642414,0x005F339C,3
sim::SimUnits,0x00642438,0x005F3664,2
sim::PhysicsProperties,0x00642454,0x005F33B0,2
sim::VPhysicsProperties::?$SafeCast,0x00642478,0x005F33D0,1
sim::SymMatrix,0x006424C0,0x005F3450,1
sim::PAVCollisionVolume::?$TList,0x006424DC,0x005F3458,1
sim::SphereVolume,0x00642510,0x005F3460,10
sim::CylinderVolume,0x00642530,0x005F348C,10
sim::WallVolume,0x00642554,0x005F34E4,10
sim::BBoxVolume,0x00642574,0x005F3510,10
sim::CollisionObjectLoader,0x00642594,0x005F3570,10
sim::VirtualCM,0x006425C4,0x005F35BC,5
sim::JointVirtualCM,0x006425E0,0x005F35D4,5
sim::PAVJointVirtualCM::?$TList,0x00642604,0x005F35EC,1
sim::SimStateArticulated,0x00642638,0x005F35F4,20
sim::VArticulatedPhysicsObject::?$SafeCast,0x00642670,0x005F3648,1
sim::VSkeletonInfo::?$SafeCast,0x006426BC,0x005F3650,1
sim::SkeletonInfo,0x006426FC,0x005F3B28,3
sim::PAVSimUnits::?$TList,0x00642730,0x005F365C,1
sim::SimEnvironment,0x0064275C,0x005F3670,2
sim::SimCGSValue,0x00642780,0x005F368C,5
sim::SimLength,0x006427A0,0x005F36A4,5
sim::SimTime,0x006427BC,0x005F36BC,5
sim::tExportInfo,0x006427D8,0x005F36E8,3
sim::SimUnitsManager,0x006427F8,0x005F36F8,2
sim::tExportInfoLoader,0x0064281C,0x005F3704,10
sim::PhysicsObjectLoader,0x00642854,0x005F382C,10
sim::ImpulseBasedCollisionSolver,0x00642894,0x005F385C,6
sim::PhysicsJoint,0x00642924,0x005F3934,29
sim::PhysicsJoint0D,0x00642944,0x005F39B4,29
sim::PhysicsJoint1D,0x00642968,0x005F3A2C,29
sim::PhysicsJoint3D,0x0064298C,0x005F3AA4,29
sim::PAVPhysicsJoint::?$TList,0x006429B0,0x005F3B1C,1
sim::SubCollisionDetector,0x00642A08,0x005F3C20,1
sim::CollisionDetector,0x00642A30,0x005F3B4C,1
sim::Filter3D,0x00642A64,0x00000000,0
sim::SimpleFilter3D,0x00642A80,0x005F3C44,3
sim::SimpleFilterAbs3D,0x00642AA4,0x005F3C08,3
sim::Filter1D,0x00642AE0,0x00000000,0
sim::SimpleFilter1D,0x00642AFC,0x005F3C34,3
Scrooby::App,0x00642B34,0x005F3C64,24
FeProjectFileHandler,0x00642B50,0x005F3E88,6
FeTextBibleLoader,0x00642B74,0x005F3EFC,10
FeLanguage,0x00642B94,0x005F529C,5
Scrooby::TextBible,0x00642BB0,0x005F42D4,2
Scrooby::Project,0x00642BD0,0x005F44E8,12
FeProject,0x00642BF0,0x005F451C,12
Scrooby::Screen,0x00642C08,0x005F410C,24
FeScreen,0x00642C28,0x005F4190,7
PAVFeProject::?$rVector,0x00642C40,0x005F3FDC,1
FeApp,0x00642C68,0x005F4004,25
Scrooby::Owner,0x00642C88,0x005F40D8,12
FeParent,0x00642CA4,0x005F5A1C,12
FeEntity,0x00642CBC,0x005F5A68,5
FeDrawable,0x00642CD4,0x005F5974,24
FeOwner,0x00642CF0,0x005F586C,2
Scrooby::Page,0x00642D08,0x005F5648,12
PAVFeLanguage::?$rVector,0x00642D24,0x005F42E0,1
FeTextBible,0x00642D4C,0x005F42E8,2
FeResourceManager::ResourceManagerEntryBase,0x00642D74,0x005F4344,5
FeResourceManager::AliasEntry,0x00642DB0,0x005F435C,1
Scrooby::ResourceManager,0x00642DDC,0x005F4364,5
FeResourceManager::PAVResourceEntry::?$rVector,0x00642E04,0x005F437C,1
FeResourceManager::PAVAliasEntry::?$rVector,0x00642E44,0x005F4384,1
FeResourceManager::PAUPure3dAttributesEntry::?$rVector,0x00642E80,0x005F438C,1
FeResourceManager::ResourceEntry,0x00642EC8,0x005F4394,5
FeResourceManager::Pure3dAttributesEntry,0x00642EF8,0x005F43AC,5
FeResourceManager::P3DCallback,0x00642F30,0x005F43C4,5
FeResourceManager,0x00642F5C,0x005F43F4,5
XMLTree,0x00642F7C,0x005F44C8,1
Scrooby::ResourceManagerCallback,0x00642F94,0x005F44DC,2
FeTextStyle,0x00642FC4,0x005F4638,5
Scrooby::Polygon,0x00642FE0,0x005F4654,24
FePolygon,0x00643000,0x005F46DC,8
Scenegraph::Iterator,0x00643020,0x005F9EE0,5
Scenegraph::LightGroupIterator,0x00643044,0x005F47E8,5
Scrooby::Pure3dObject,0x00643070,0x005F4924,14
FeBoundedDrawable,0x00643094,0x005F5ADC,14
FePure3dObject,0x006430B4,0x005F4A1C,17
PAVPascalCString::?$rVector,0x006430D4,0x005F4DC8,1
FeSprite,0x00643100,0x005F4DD0,13
FeText,0x00643118,0x005F505C,32
