class,offset_hex,member_class,support,instances,evidence
tTexture,0x20,tShader,162,1269,embedded member/base vtable in live-object dump (SAHRDiag dynamic run)
tShader,0x20,tTexture,157,223,embedded member/base vtable in live-object dump (SAHRDiag dynamic run)
FeResourceManager::AliasEntry,0x30,FeEntityDummy,74,408,embedded member/base vtable in live-object dump (SAHRDiag dynamic run)
FeResourceManager::AliasEntry,0x18,FeEntityDummy,69,408,embedded member/base vtable in live-object dump (SAHRDiag dynamic run)
FeEntityDummy,0x30,FeResourceManager::AliasEntry,63,617,embedded member/base vtable in live-object dump (SAHRDiag dynamic run)
FeEntityDummy,0x18,FeResourceManager::AliasEntry,62,617,embedded member/base vtable in live-object dump (SAHRDiag dynamic run)
tSkeleton,0x10,tSkeleton::VJoint::?$tArray,48,48,embedded member/base vtable in live-object dump (SAHRDiag dynamic run)
tBillboardQuadGroup,0x18,PAVtBillboardQuad::?$tPtrArray,26,26,embedded member/base vtable in live-object dump (SAHRDiag dynamic run)
radObjectListNode,0x3C,radBaseObject,25,689,embedded member/base vtable in live-object dump (SAHRDiag dynamic run)
radBaseObject,0x0C,radObjectListNode,25,1445,embedded member/base vtable in live-object dump (SAHRDiag dynamic run)
radBaseObject,0x3C,radObjectListNode,25,1445,embedded member/base vtable in live-object dump (SAHRDiag dynamic run)
radBaseObject,0x24,radObjectListNode,25,1445,embedded member/base vtable in live-object dump (SAHRDiag dynamic run)
radObjectListNode,0x24,radBaseObject,24,689,embedded member/base vtable in live-object dump (SAHRDiag dynamic run)
radObjectListNode,0x0C,radBaseObject,22,689,embedded member/base vtable in live-object dump (SAHRDiag dynamic run)
radWeakCallbackWrapper,0x0C,radBaseObject,20,500,embedded member/base vtable in live-object dump (SAHRDiag dynamic run)
radWeakCallbackWrapper,0x34,radBaseObject,19,500,embedded member/base vtable in live-object dump (SAHRDiag dynamic run)
radBaseObject,0x1C,radWeakCallbackWrapper,19,1445,embedded member/base vtable in live-object dump (SAHRDiag dynamic run)
tSkeleton,0x38,tSkeleton::VJoint::?$tArray,17,48,embedded member/base vtable in live-object dump (SAHRDiag dynamic run)
tSkeleton::VJoint::?$tArray,0x18,tSkeleton,17,48,embedded member/base vtable in live-object dump (SAHRDiag dynamic run)
tCompositeDrawable,0x34,tCompositeDrawable::PAVDrawableElement::?$tPtrDynamicArray,15,15,embedded member/base vtable in live-object dump (SAHRDiag dynamic run)
tCompositeDrawable::DrawablePropElement,0x28,tPose,14,77,embedded member/base vtable in live-object dump (SAHRDiag dynamic run)
tSkeleton,0x28,tCompositeDrawable::DrawablePropElement,11,48,embedded member/base vtable in live-object dump (SAHRDiag dynamic run)
tSkeleton::VJoint::?$tArray,0x18,tCompositeDrawable::DrawablePropElement,11,48,embedded member/base vtable in live-object dump (SAHRDiag dynamic run)
tAnimationGroup,0x24,tFloat1Channel,10,36,embedded member/base vtable in live-object dump (SAHRDiag dynamic run)
tPolySkin,0x10,PAVtPrimGroup::?$tPtrArray,10,10,embedded member/base vtable in live-object dump (SAHRDiag dynamic run)
tPose,0x28,tCompositeDrawable::DrawablePropElement,10,38,embedded member/base vtable in live-object dump (SAHRDiag dynamic run)
tTexture,0x14,radBaseObject,9,1269,embedded member/base vtable in live-object dump (SAHRDiag dynamic run)
tAnimationGroup,0x28,tFloat1Channel,9,36,embedded member/base vtable in live-object dump (SAHRDiag dynamic run)
PlatformSoundPlayer,0x0C,PositionalSoundPlayer,8,8,embedded member/base vtable in live-object dump (SAHRDiag dynamic run)
radBaseObject,0x0C,tTexture,8,1445,embedded member/base vtable in live-object dump (SAHRDiag dynamic run)
tAnimationGroup,0x24,tVector3DOFChannel,8,36,embedded member/base vtable in live-object dump (SAHRDiag dynamic run)
