class,live_instances
GuiSFX::PauseInFrames,1
radmusic::stream_graph_callback,1
type_info,1384
CardsDB,1
GameDataManager,1
MemoryCardManager,1
radSoundHalMemoryRegion,1
Sound::daSoundDynaLoadManager,1
radPlatform,1
Fader,3
GuiSFX::SendEvent,1
MemorySpaceAsyncRequest_Copy,1
GameplayContext,1
RadcoreMemAdapt,1
tSEQFileHandler,1
radMemoryAllocatorMalloc,1
tPointGenerator,8
FeScreen,38
sim::SimEnvironment,1
GuiSFX::Junction3,2
p3d::DefaultRouter,1
tFloat1Channel,51
ActionButton::SummonVehiclePhoneStaticCallback,1
radThread,3
Reward,48
InputManager,1
radThreadFiber,3
IRadObjectList,221
AdaptPDDI,1
radWeakInterfaceWrapper,1
SoundFXPauseLogic,1
tImageFontLoader,1
SaveGameInfo,1
Blinker,64
CGuiScreenAutoLoad,1
CGuiScreenDemo,1
GuiSFX::Show,6
tAnimationGroup,36
FePolygon,18
tSprite,175
sim::VoidPList,3
RoadManager,6
GuiSFX::ColorChange,3
NISPlayerGroup,6
GuiSFX::IrisWipeOpen,3
PAVtPrimGroup::?$tPtrArray,12
GuiSFX::Pause,4
GuiSFX::Hide,3
ResetCar,1
tShader,223
GuiSFX::ResumeGame,1
tColourChannel,1
StaticEntityDSG,1
GuiSFX::PulseScale,2
RewardsManager,1
TrafficVehicle,1
GuiSFX::Dummy,3
GuiSFX::Translator,12
radFile,32
HeapActivityTracker,1
FollowCamDataChunk,180
PathManager,1
FeTextChildTextBibleString,1304
ActionButton::CollectibleFood,1
ConstantEffect,4
tSpriteParticle,1000
radBaseObject,1445
radThreadSemaphore,2
CharacterSheetManager,1
radDriveThread,1
SoundFXFrontEndLogic,1
tInventory,1
SimpsonsSoundPlayer,21
LoadingManager,1
tTargaHandler,5
UserController,4
tParticleSystemFactoryLoader,2
Sound::daSoundRenderingManager,1
RumbleEffect,4
tGeometryLoader,1
tCompositeDrawable,15
Gamepad,8
Keyboard,4
RenderManager,1
tMultiController,15
Mouse,4
tSkeletonLoader,4
SteeringSpring,4
LoadingSuperSprintContext,1
BaseDamper,4
CGuiScreenViewMovies,1
sim::SimulatedObject,4
WheelRumble,8
GameFlow,1
CardGallery,1
tEntityChannel,7
WorldRenderLayer,1
tCompositeDrawable::PAVDrawableElement::?$tPtrDynamicArray,15
Merchandise,56
MusicPlayer,1
tCameraAnimationController,3
Console,1
MissionScriptLoader,1
AiVehicleController,1
DynaPhysLoader,1
VehicleCentral,1
radString,42
radFactoryNode,5
radWin32Drive,1
AnimCollLoader,1
DialogCoordinator,1
tEventAnimTextLoader,1
VFMVEvent::?$AllocPool,1
sim::PAVSimUnits::?$TList,1
VNISEvent::?$AllocPool,1
tSkeleton,48
StaticPhysLoader,1
CGuiSystem,1
VTransitionEvent::?$AllocPool,1
sim::WallVolume,40
tPNGHandler,6
PlayerDrawable,1
PresentationManager,1
sim::SymMatrix,14
FMVEvent,10
NISEvent,10
TransitionEvent,10
tVertexAnimKeyLoader,1
NISPlayer,1
ImageSlider,6
Win32Platform,1
CameraPlayer,1
TransitionPlayer,1
RoadDataSegmentLoader,1
FMVPlayer,1
FMVUserInputHandler,1
CharacterManager,1
PresentationOverlay,1
CGuiTextBible,1
tDirectionalLight,2
CheatsDB,1
SoundManager,1
tLightLoader,1
AvatarSoundPlayer,1
HeapStack,2
IntersectLoader,1
Listener,1
IRadTypeInfoSystem,1
tView,5
TutorialManager,1
Sound::daSoundClipStreamPlayer,9
AnimDynaPhysLoader,1
ExternalMemoryHeap,1
radSoundClipPlayer,2
FeResourceManager::Pure3dAttributesEntry,23
radTimerList,3
tSpriteEmitter,1
SoundEffectPlayer,1
tFloat2Channel,1
tSetLoader,1
Sound::daSoundPlayerManager,1
radObjectBTree,9
radSoundHalSystem,1
radSoundHalAudioFormat,8
radSoundHalListener,1
MemoryPool,8
ExternalMemoryObject,14
CollectorCard,49
radSoundStreamPlayer,13
radSoundHalVoiceWin,15
CGuiManagerBackEnd,1
tLocatorLoader,1
radSoundHalBufferWin,13
AnimDynaPhysWrapperLoader,1
radSoundStitchedDataSource,13
tP3DFileHandler,1
FenceEntityDSG,8
radSoundHalEffectEAX2Reverb,1
BreakablesManager,1
tParticleSystemFactory,1
tExpressionLoader,1
radmusic::radmusic_file_loader,1
FeResourceManager::PAVResourceEntry::?$rVector,1
radmusic::composition_data_loader,1
IRadNameSpace,7
VradLoadDataLoader::?$RefHashTable,1
SoundDebugDisplay,1
tPose,38
RenderFlow,1
tTextureLoader,1
InstParticleSystemLoader,1
BillboardWrappedLoader,1
CheatInputSystem,1
PathLoader,1
RoadLoader,1
Win32ReverbController,1
tFrameControllerLoader,6
Sound::daSoundResourceManager,1
tCompositeDrawable::DrawablePropElement,77
daSoundResourceData,5000
CGuiScreenLoadingFE,1
Sound::daSoundTuner,1
SoundLoader,1
Scenegraph::Loader,1
SoundCluster,115
tPrimGroupSkinnedStreamed,1
sim::VPhysicsProperties::?$SafeCast,1
sim::CollisionManager,3
sim::CollisionDetector,1
FeProject,3
tCompressedQuaternionChannel,9
Scrooby::FeProjectChunkHandler,1
sim::PhysicsObjectLoader,3
sim::ImpulseBasedCollisionSolver,1
DialogList,1
AvatarVehiclePosnPlayer,1
InteriorExit,1
PAVPascalCString::?$rVector,147
DialogPriorityQueue,1
FeApp,1
PositionalSoundPlayer,64
sim::PAVPhysicsJoint::?$TList,5
NISSoundPlayer,1
MovingSoundManager,1
TrafficSoundPlayer,5
AIVehicleSoundPlayer,5
WaspSoundPlayer,2
PauseContext,1
PlatformSoundPlayer,8
CameraDataLoader,2
AnimObjSoundPlayer,5
SoundFXGameplayLogic,1
BonusMissionInfo,10
CGuiScreenLicense,1
MissionManager,1
tLightGroup,1
tParticleSystem,15
FrontEndRenderLayer,1
WorldSphereLoader,1
FrontEndContext,1
radControllerSystemDirectInput,1
radLoadObject,5
IEntityDSG,1
WorldCollisionSolverAgentManager,1
tAnimatedObjectFactoryLoader,2
CoinManager,1
tCompositeDrawableLoader,9
tAnimationLoader,4
StaticEntityLoader,1
tMultiControllerLoader,5
tAnimatedObjectLoader,2
tBillboardQuadGroupLoader,3
Scenegraph::Drawable,9
AvatarManager,1
sim::CollisionObjectLoader,6
CGuiUserInputHandler,4
ActionButtonManager,1
SuperCamCentral,4
IntersectionList,4
tTextureFont,8
TriggerVolumeTracker,1
InteriorManager,1
ActorManager,1
HitnRunManager,1
RenderLayer,3
tPointCamera,5
sim::PhysicsJoint0D,5
radObjectListNode,689
tSequencerLoader,1
LensFlareLoader,2
InstStatPhysLoader,1
Game,1
tSpriteLoader,1
Scenegraph::Visibility,8
Scenegraph::Branch,8
CGuiScreenDisplay,1
radTimer,1
GeometryWrappedLoader,1
VradLoadObject::?$RefQueue,1
tRawImageHandler,4
BreakableObjectLoader,1
tBMPHandler,5
tDXTNHandler,4
tVectorCamera,15
tLightGroupLoader,1
tParticleSystemLoader,2
tEntityTable,16
tShaderLoader,1
tTextureFontLoader,1
CGuiScreenCardGallery,1
tCameraLoader,1
tPolySkinLoader,1
tCompositeDrawable::DrawableEffectElement,11
tGameAttrLoader,1
radWeakCallbackWrapper,500
FenceLoader,1
ParticleManager::PAVManagedParticleSystem::V?$tPtrDynamicArray::?$tPtrDynamicArray,1
tImageLoader,2
InstStatEntityLoader,1
FeResourceManager::PAVAliasEntry::?$rVector,1
LocatorLoader,1
TreeDSGLoader,1
AnimDSGLoader,1
choreo::LocomotionSlot,3
FePure3dObject,21
ParticleManager::PAVManagedParticleSystem::?$tPtrDynamicArray,27
FeTextBibleLoader,1
tPolySkin,10
AnimEntityDSGManager,1
tBillboardQuadGroup,26
PAVtBillboardQuad::?$tPtrArray,26
SuperSprintContext,1
UIRefCount::?$RefHashTable,17
tImageConverter,6
ExitContext,1
tLoadManager,1
IntersectionLoader,1
EntryContext,1
tParticleArray,22
FeLanguage,2
ATCLoader,1
tExpressionMixerLoader,1
CStatePropDataLoader,1
tExpressionGroupLoader,1
tLensFlareGroupLoader,1
tAnimationMemoryBlock,34
sim::tExportInfoLoader,1
sim::PhysicsProperties,4
radControllerDirectInput,28
choreo::RigLeg,6
radControllerInputPointDirectInput,160
PAVFeProject::?$rVector,1
FeResourceManager::PAUPure3dAttributesEntry::?$rVector,1
FeResourceManager,1
BinkCallback,1
sim::CylinderVolume,1
radThreadLocalStorage,3
sim::ManualSimState,340
HeapManager,2
radThreadMutex,6
radLoadManager,1
VradLoadFileLoader::?$RefHashTable,1
VradLoadCallback::?$RefQueue,1
radMemoryDlAllocator,1
radInstanceDrive,2
FileHandler,1
FeResourceManager::ResourceEntry,576
sim::SimState,4
tTexture,1269
DemoContext,1
FeEntityDummy,617
FeResourceManager::AliasEntry,408
FeProjectFileHandler,1
FeResourceManager::P3DCallback,1
Scenegraph::LightGroup,1
LoadingGameplayContext,1
LoadingDemoContext,1
SuperSprintFEContext,1
RedBrickCollisionSolverAgent,1
BootupContext,1
tLinearTable,617
CheatInputHandler,1
sim::PAVCollisionObject::?$TList,39
sim::OBBoxVolume,296
choreo::Animation,7
sim::CollisionObject,336
FeLayer,82
CGuiScreenScrapBook,1
tVector3DOFChannel,9
Slider,2
CGuiManagerBootUp,1
CGuiScreenMemCardCheck,1
CGuiScreenMessage,1
CGuiScreenPrompt,2
reverbSettings,12
CGuiMenuPrompt,2
GuiMenuItemText,6
FeSprite,147
H::?$rVector,66
FePage,66
FeGroup,78
FeText,328
FeTextChildHardCodedString,89
PAVFeLanguage::?$rVector,2
FeTextBible,2
0::Scenegraph,5
tGeometry,2
CGuiScreenLoading,1
tAnimation,3
tSpriteEmitterFactory,4
sim::SimUnits,1
sim::PAVCollisionVolume::?$TList,1
sim::SphereVolume,1
tCompositeDrawable::DrawablePoseElement,39
tParticlePool,8
tPointGeneratorFactory,8
CGuiScreenSound,1
CGuiScreenOptions,1
tLocator,12
tSkeleton::VJoint::?$tArray,48
tEffectController,7
tPrimGroupOptimised,82
PAVtLight::?$tPtrArray,1
tBoolChannel,1
CGuiScreenMemoryCard,1
tExpressionGroup,1
PAVtExpression::?$tPtrArray,1
