class,offset_hex,subobject_class,support,instances,evidence
daSoundResourceData,0x14,daSoundResourceData,4999,5000,embedded vtable in live-object dump (SAHRDiag dynamic run)
daSoundResourceData,0x28,daSoundResourceData,4998,5000,embedded vtable in live-object dump (SAHRDiag dynamic run)
daSoundResourceData,0x3C,daSoundResourceData,4997,5000,embedded vtable in live-object dump (SAHRDiag dynamic run)
FeTextChildTextBibleString,0x28,FeTextChildTextBibleString,1067,1304,embedded vtable in live-object dump (SAHRDiag dynamic run)
tTexture,0x20,tTexture,1047,1269,embedded vtable in live-object dump (SAHRDiag dynamic run)
radWeakCallbackWrapper,0x28,radWeakCallbackWrapper,480,500,embedded vtable in live-object dump (SAHRDiag dynamic run)
tLinearTable,0x30,tLinearTable,458,617,embedded vtable in live-object dump (SAHRDiag dynamic run)
radBaseObject,0x28,radBaseObject,447,1445,embedded vtable in live-object dump (SAHRDiag dynamic run)
radObjectListNode,0x18,radObjectListNode,402,689,embedded vtable in live-object dump (SAHRDiag dynamic run)
radObjectListNode,0x30,radObjectListNode,398,689,embedded vtable in live-object dump (SAHRDiag dynamic run)
IRadObjectList,0x30,IRadObjectList,201,221,embedded vtable in live-object dump (SAHRDiag dynamic run)
FeResourceManager::AliasEntry,0x18,FeResourceManager::AliasEntry,201,408,embedded vtable in live-object dump (SAHRDiag dynamic run)
FeEntityDummy,0x30,FeEntityDummy,201,617,embedded vtable in live-object dump (SAHRDiag dynamic run)
FeResourceManager::AliasEntry,0x30,FeResourceManager::AliasEntry,190,408,embedded vtable in live-object dump (SAHRDiag dynamic run)
FeEntityDummy,0x18,FeEntityDummy,188,617,embedded vtable in live-object dump (SAHRDiag dynamic run)
FollowCamDataChunk,0x28,FollowCamDataChunk,179,180,embedded vtable in live-object dump (SAHRDiag dynamic run)
tTexture,0x20,tShader,162,1269,embedded vtable in live-object dump (SAHRDiag dynamic run)
tShader,0x20,tTexture,157,223,embedded vtable in live-object dump (SAHRDiag dynamic run)
radBaseObject,0x30,radBaseObject,142,1445,embedded vtable in live-object dump (SAHRDiag dynamic run)
