class,sizeof_hex,sizeof_dec,support,instances,evidence
daSoundResourceData,0x14,20,4999,5000,pool-adjacent stride in live-object dump (SAHRDiag dynamic run)
FeTextChildTextBibleString,0x28,40,1067,1304,pool-adjacent stride in live-object dump (SAHRDiag dynamic run)
tTexture,0x20,32,1047,1269,pool-adjacent stride in live-object dump (SAHRDiag dynamic run)
radWeakCallbackWrapper,0x28,40,480,500,pool-adjacent stride in live-object dump (SAHRDiag dynamic run)
tLinearTable,0x30,48,458,617,pool-adjacent stride in live-object dump (SAHRDiag dynamic run)
radObjectListNode,0x18,24,402,689,pool-adjacent stride in live-object dump (SAHRDiag dynamic run)
IRadObjectList,0x30,48,201,221,pool-adjacent stride in live-object dump (SAHRDiag dynamic run)
FollowCamDataChunk,0x28,40,179,180,pool-adjacent stride in live-object dump (SAHRDiag dynamic run)
tPrimGroupOptimised,0x30,48,72,82,pool-adjacent stride in live-object dump (SAHRDiag dynamic run)
Blinker,0x18,24,63,64,pool-adjacent stride in live-object dump (SAHRDiag dynamic run)
FeTextChildHardCodedString,0x20,32,57,89,pool-adjacent stride in live-object dump (SAHRDiag dynamic run)
CollectorCard,0x30,48,38,49,pool-adjacent stride in live-object dump (SAHRDiag dynamic run)
tFloat1Channel,0x20,32,28,51,pool-adjacent stride in live-object dump (SAHRDiag dynamic run)
ParticleManager::PAVManagedParticleSystem::?$tPtrDynamicArray,0x0C,12,26,27,pool-adjacent stride in live-object dump (SAHRDiag dynamic run)
SimpsonsSoundPlayer,0x14,20,15,21,pool-adjacent stride in live-object dump (SAHRDiag dynamic run)
ExternalMemoryObject,0x28,40,12,14,pool-adjacent stride in live-object dump (SAHRDiag dynamic run)
