subsystem,string,va,found
Pure3D,"p3dcompress version 1.0.0 (with ATG 2.0)",0x00000000,0
Pure3D,"Pure3D",0x00000000,0
Pure3D,"P3D",0x0060C195,1
Pure3D,"RADCORE CEMENT LIBRARY",0x005F80EC,1
Pure3D,"Shader",0x00000000,0
Pure3D,"Texture",0x00611D87,1
Pure3D,"Mesh",0x00000000,0
Pure3D,"Skeleton",0x00000000,0
Pure3D,"Animation",0x00612055,1
Pure3D,"Locator",0x006124A4,1
Pure3D,"Camera",0x0060B66B,1
Pure3D,"Light",0x0060C56A,1
GameFlow,"GameFlow",0x00000000,0
GameFlow,"ContextData",0x00000000,0
GameFlow,"LoadingContext",0x00614938,1
GameFlow,"FrontEndContext",0x00000000,0
GameFlow,"GameplayContext",0x00000000,0
GameFlow,"PauseContext",0x006148E0,1
GameFlow,"DemoContext",0x00000000,0
GameFlow,"CharacterSheet",0x00000000,0
GameFlow,"CharacterManager",0x00000000,0
GameFlow,"MissionManager",0x00000000,0
Simulation,"sim::PhysicsObject",0x00000000,0
Simulation,"sim::SimState",0x00000000,0
Simulation,"PhysicsVehicle",0x00000000,0
Simulation,"Vehicle",0x0060F4F8,1
Simulation,"TrafficVehicle",0x00000000,0
Simulation,"PathManager",0x00000000,0
Simulation,"RoadManager",0x00000000,0
Simulation,"SuspensionJoint",0x00000000,0
Simulation,"DriftAction",0x00000000,0
Simulation,"CollisionObject",0x00000000,0
Simulation,"IntersectionManager",0x00000000,0
Character,"Character",0x00607CD9,1
Character,"Pedestrian",0x00000000,0
Character,"AICharacter",0x00000000,0
Character,"NPCharacter",0x00000000,0
Character,"Avatar",0x00000000,0
Character,"PlayerCharacter",0x00000000,0
Character,"ActionController",0x00000000,0
Character,"Waypoint",0x00611E35,1
Mission,"MissionObjective",0x0060E3E4,1
Mission,"MissionScript",0x00000000,0
Mission,"Objective",0x0060E3EB,1
Mission,"Stage",0x00612477,1
Mission,"choreo",0x00000000,0
Mission,"ChoreoController",0x00000000,0
Mission,"ConditionType",0x00000000,0
Mission,"RewardManager",0x00000000,0
Police,"HitAndRun",0x0061285D,1
Police,"PoliceController",0x00000000,0
Police,"Wasp",0x00000000,0
Police,"Pursuit",0x00000000,0
Police,"Bust",0x00000000,0
AudioVideo,"RSD4PCM",0x00000000,0
AudioVideo,"RadSound",0x00000000,0
AudioVideo,"sd::",0x00000000,0
AudioVideo,"BIKi",0x00000000,0
AudioVideo,"BinkOpen",0x00000000,0
AudioVideo,"BinkDoFrame",0x00000000,0
UI,"Scrooby",0x00000000,0
UI,"FeScreen",0x00000000,0
UI,"FeProject",0x00000000,0
UI,"FontManager",0x00000000,0
UI,"Localisation",0x00000000,0
UI,"CGuiScreen",0x00000000,0
UI,"CGuiScreenOptions",0x00000000,0
UI,"CGuiScreenDisplay",0x00000000,0
UI,"CGuiScreenSound",0x00000000,0
