class,vtable_va_hex,tier,source
sim::SimState,0x005F32BC,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::SimulatedObject,0x005F38B4,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::ManualSimState,0x005F3314,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::VoidPList,0x005F3B54,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::PAVCollisionObject::?$TList,0x005F3394,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::CollisionManager,0x005F339C,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::SimUnits,0x005F3664,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::PhysicsProperties,0x005F33B0,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::VPhysicsProperties::?$SafeCast,0x005F33D0,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::SymMatrix,0x005F3450,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::PAVCollisionVolume::?$TList,0x005F3458,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::SphereVolume,0x005F3460,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::CylinderVolume,0x005F348C,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::WallVolume,0x005F34E4,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::BBoxVolume,0x005F3510,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::CollisionObjectLoader,0x005F3570,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::VirtualCM,0x005F35BC,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::JointVirtualCM,0x005F35D4,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::PAVJointVirtualCM::?$TList,0x005F35EC,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::SimStateArticulated,0x005F35F4,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::VArticulatedPhysicsObject::?$SafeCast,0x005F3648,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::VSkeletonInfo::?$SafeCast,0x005F3650,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::SkeletonInfo,0x005F3B28,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::PAVSimUnits::?$TList,0x005F365C,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::SimEnvironment,0x005F3670,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::SimCGSValue,0x005F368C,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::SimLength,0x005F36A4,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::SimTime,0x005F36BC,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::tExportInfo,0x005F36E8,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::SimUnitsManager,0x005F36F8,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::tExportInfoLoader,0x005F3704,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::PhysicsObjectLoader,0x005F382C,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::ImpulseBasedCollisionSolver,0x005F385C,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::PhysicsJoint,0x005F3934,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::PhysicsJoint0D,0x005F39B4,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::PhysicsJoint1D,0x005F3A2C,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::PhysicsJoint3D,0x005F3AA4,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::PAVPhysicsJoint::?$TList,0x005F3B1C,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::SubCollisionDetector,0x005F3C20,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::CollisionDetector,0x005F3B4C,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::SimpleFilter3D,0x005F3C44,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::SimpleFilterAbs3D,0x005F3C08,CONFIRMED,RTTI COL walk (SAHRDiag live)
sim::SimpleFilter1D,0x005F3C34,CONFIRMED,RTTI COL walk (SAHRDiag live)
Scrooby::App,0x005F3C64,CONFIRMED,RTTI COL walk (SAHRDiag live)
FeProjectFileHandler,0x005F3E88,CONFIRMED,RTTI COL walk (SAHRDiag live)
FeTextBibleLoader,0x005F3EFC,CONFIRMED,RTTI COL walk (SAHRDiag live)
FeLanguage,0x005F529C,CONFIRMED,RTTI COL walk (SAHRDiag live)
Scrooby::TextBible,0x005F42D4,CONFIRMED,RTTI COL walk (SAHRDiag live)
Scrooby::Project,0x005F44E8,CONFIRMED,RTTI COL walk (SAHRDiag live)
FeProject,0x005F451C,CONFIRMED,RTTI COL walk (SAHRDiag live)
Scrooby::Screen,0x005F410C,CONFIRMED,RTTI COL walk (SAHRDiag live)
FeScreen,0x005F4190,CONFIRMED,RTTI COL walk (SAHRDiag live)
PAVFeProject::?$rVector,0x005F3FDC,CONFIRMED,RTTI COL walk (SAHRDiag live)
FeApp,0x005F4004,CONFIRMED,RTTI COL walk (SAHRDiag live)
Scrooby::Owner,0x005F40D8,CONFIRMED,RTTI COL walk (SAHRDiag live)
FeParent,0x005F5A1C,CONFIRMED,RTTI COL walk (SAHRDiag live)
FeEntity,0x005F5A68,CONFIRMED,RTTI COL walk (SAHRDiag live)
FeDrawable,0x005F5974,CONFIRMED,RTTI COL walk (SAHRDiag live)
FeOwner,0x005F586C,CONFIRMED,RTTI COL walk (SAHRDiag live)
Scrooby::Page,0x005F5648,CONFIRMED,RTTI COL walk (SAHRDiag live)
PAVFeLanguage::?$rVector,0x005F42E0,CONFIRMED,RTTI COL walk (SAHRDiag live)
FeTextBible,0x005F42E8,CONFIRMED,RTTI COL walk (SAHRDiag live)
FeResourceManager::ResourceManagerEntryBase,0x005F4344,CONFIRMED,RTTI COL walk (SAHRDiag live)
FeResourceManager::AliasEntry,0x005F435C,CONFIRMED,RTTI COL walk (SAHRDiag live)
Scrooby::ResourceManager,0x005F4364,CONFIRMED,RTTI COL walk (SAHRDiag live)
FeResourceManager::PAVResourceEntry::?$rVector,0x005F437C,CONFIRMED,RTTI COL walk (SAHRDiag live)
FeResourceManager::PAVAliasEntry::?$rVector,0x005F4384,CONFIRMED,RTTI COL walk (SAHRDiag live)
FeResourceManager::PAUPure3dAttributesEntry::?$rVector,0x005F438C,CONFIRMED,RTTI COL walk (SAHRDiag live)
FeResourceManager::ResourceEntry,0x005F4394,CONFIRMED,RTTI COL walk (SAHRDiag live)
FeResourceManager::Pure3dAttributesEntry,0x005F43AC,CONFIRMED,RTTI COL walk (SAHRDiag live)
FeResourceManager::P3DCallback,0x005F43C4,CONFIRMED,RTTI COL walk (SAHRDiag live)
FeResourceManager,0x005F43F4,CONFIRMED,RTTI COL walk (SAHRDiag live)
XMLTree,0x005F44C8,CONFIRMED,RTTI COL walk (SAHRDiag live)
Scrooby::ResourceManagerCallback,0x005F44DC,CONFIRMED,RTTI COL walk (SAHRDiag live)
FeTextStyle,0x005F4638,CONFIRMED,RTTI COL walk (SAHRDiag live)
Scrooby::Polygon,0x005F4654,CONFIRMED,RTTI COL walk (SAHRDiag live)
FePolygon,0x005F46DC,CONFIRMED,RTTI COL walk (SAHRDiag live)
Scenegraph::Iterator,0x005F9EE0,CONFIRMED,RTTI COL walk (SAHRDiag live)
Scenegraph::LightGroupIterator,0x005F47E8,CONFIRMED,RTTI COL walk (SAHRDiag live)
Scrooby::Pure3dObject,0x005F4924,CONFIRMED,RTTI COL walk (SAHRDiag live)
FeBoundedDrawable,0x005F5ADC,CONFIRMED,RTTI COL walk (SAHRDiag live)
FePure3dObject,0x005F4A1C,CONFIRMED,RTTI COL walk (SAHRDiag live)
PAVPascalCString::?$rVector,0x005F4DC8,CONFIRMED,RTTI COL walk (SAHRDiag live)
FeSprite,0x005F4DD0,CONFIRMED,RTTI COL walk (SAHRDiag live)
FeText,0x005F505C,CONFIRMED,RTTI COL walk (SAHRDiag live)
FeTextChildHardCodedString,0x005F521C,CONFIRMED,RTTI COL walk (SAHRDiag live)
FeTextChildTextBibleString,0x005F5240,CONFIRMED,RTTI COL walk (SAHRDiag live)
Scrooby::Group,0x005F52B8,CONFIRMED,RTTI COL walk (SAHRDiag live)
FeGroup,0x005F5368,CONFIRMED,RTTI COL walk (SAHRDiag live)
Scrooby::Layer,0x005F54A0,CONFIRMED,RTTI COL walk (SAHRDiag live)
FeLayer,0x005F5538,CONFIRMED,RTTI COL walk (SAHRDiag live)
H::?$rVector,0x005F56FC,CONFIRMED,RTTI COL walk (SAHRDiag live)
FePage,0x005F5704,CONFIRMED,RTTI COL walk (SAHRDiag live)
Scrooby::FeProjectChunkHandler,0x005F5830,CONFIRMED,RTTI COL walk (SAHRDiag live)
PAVXMLAttribute::?$rVector,0x005F5A80,CONFIRMED,RTTI COL walk (SAHRDiag live)
PAVXMLNode::?$rVector,0x005F5A88,CONFIRMED,RTTI COL walk (SAHRDiag live)
XMLNode,0x005F5A90,CONFIRMED,RTTI COL walk (SAHRDiag live)
XMLParser,0x005F5A98,CONFIRMED,RTTI COL walk (SAHRDiag live)
FeEntityDummy,0x005F5AB0,CONFIRMED,RTTI COL walk (SAHRDiag live)
tLinearTable,0x005F5AC8,CONFIRMED,RTTI COL walk (SAHRDiag live)
radSoundObject,0x005F5C04,CONFIRMED,RTTI COL walk (SAHRDiag live)
IRadSoundHalSystem,0x005F5C18,CONFIRMED,RTTI COL walk (SAHRDiag live)
radSoundHalSystem,0x005F5C54,CONFIRMED,RTTI COL walk (SAHRDiag live)
IRadSoundHalListener,0x005F5D14,CONFIRMED,RTTI COL walk (SAHRDiag live)
radSoundHalListener,0x005F5D60,CONFIRMED,RTTI COL walk (SAHRDiag live)
IRadSoundHalDataSource,0x005F5DDC,CONFIRMED,RTTI COL walk (SAHRDiag live)
IRadSoundRsdFileDataSource,0x005F5E44,CONFIRMED,RTTI COL walk (SAHRDiag live)
radSoundRsdFileDataSource,0x005F5E00,CONFIRMED,RTTI COL walk (SAHRDiag live)
radSoundUpdatableObject,0x005F5E8C,CONFIRMED,RTTI COL walk (SAHRDiag live)
IRadSoundClip,0x005F5E98,CONFIRMED,RTTI COL walk (SAHRDiag live)
IRadSoundHalBufferLoadCallback,0x005F5EC4,CONFIRMED,RTTI COL walk (SAHRDiag live)
IRadSoundHalBufferClearCallback,0x005F5ED4,CONFIRMED,RTTI COL walk (SAHRDiag live)
radSoundClip,0x005F5EE4,CONFIRMED,RTTI COL walk (SAHRDiag live)
